VB7GRD22_620_L1_1,VB7GRD35_620_L1_1,VB6GRD27_620_L1_1
LTv2.0,LTv2.0,LTv2.0
620,620,620
599,144,189
4.03,3.05,1.22
10085,10095,10113
"10097,4.03","10093,3.05","10110,1.22"
"10101,4.03","10090,3.05","10113,1.23"
"10097,4.04","10091,3.05","10114,1.22"
"10099,4.03","10091,3.04","10109,1.23"
"10097,4.03","10093,3.05","10109,1.22"
"10095,4.03","10091,3.04","10113,1.25"
"10100,4.03","10091,3.05","10107,1.23"
"10095,4.03","10091,3.04","10111,1.23"
"10097,4.03","10092,3.05","10109,1.22"
"10099,4.03","10092,3.04","10111,1.22"
"10095,4.03","10089,3.05","10111,1.22"
"10099,4.03","10088,3.05","10114,1.22"
"10096,4.03","10090,3.04","10108,1.22"
"10099,4.03","10095,3.05","10109,1.22"
"10097,4.03","10091,3.05","10109,1.22"
"10100,4.03","10091,3.04","10111,1.23"
"10100,4.03","10091,3.04","10105,1.22"
"10101,4.03","10091,3.05","10109,1.23"
"10095,4.03","10090,3.04","10109,1.23"
"10096,4.04","10092,3.05","10113,1.22"
"10097,4.03","10093,3.05","10108,1.22"
"10099,4.03","10089,3.04","10110,1.22"
"10099,4.05","10088,3.05","10106,1.23"
"10098,4.05","10091,3.04","10110,1.22"
"10103,4.03","10091,3.04","10116,1.22"
"10097,4.04","10090,3.04","10111,1.25"
"10100,4.03","10089,3.05","10108,1.23"
"10101,4.03","10090,3.04","10108,1.23"
"10104,4.03","10095,3.05","10114,1.25"
"10102,4.03","10093,3.05","10117,1.23"
"10099,4.03","10092,3.04","10117,1.23"
"10101,4.03","10091,3.04","10119,1.22"
"10100,4.03","10091,3.03","10111,1.23"
"10101,4.03","10092,3.04","10117,1.25"
"10100,4.03","10093,3.05","10113,1.22"
"10100,4.03","10093,3.05","10109,1.22"
"10099,4.03","10093,3.04","10107,1.22"
"10098,4.03","10091,3.04","10114,1.22"
"10098,4.03","10091,3.05","10112,1.23"
"10095,4.03","10093,3.05","10112,1.22"
"10100,4.03","10091,3.04","10114,1.22"
"10099,4.03","10090,3.04","10111,1.23"
"10098,4.03","10091,3.04","10109,1.23"
"10097,4.03","10089,3.04","10107,1.22"
"10097,4.04","10092,3.05","10110,1.23"
"10099,4.03","10090,3.04","10105,1.23"
"10097,4.03","10091,3.05","10105,1.22"
"10098,4.03","10090,3.04","10111,1.22"
"10099,4.04","10092,3.04","10111,1.23"
"10101,4.03","10092,3.04","10110,1.22"
"10098,4.03","10091,3.04","10112,1.22"
"10099,4.03","10091,3.04","10117,1.22"
"10099,4.03","10093,3.04","10113,1.22"
"10097,4.03","10093,3.05","10110,1.22"
"10097,4.03","10091,3.05","10108,1.22"
"10099,4.03","10089,3.04","10110,1.23"
"10097,4.03","10089,3.04","10115,1.23"
"10097,4.03","10089,3.04","10111,1.22"
"10098,4.03","10090,3.04","10110,1.22"
"10095,4.03","10090,3.05","10115,1.23"
"10096,4.03","10091,3.04","10111,1.23"
"10097,4.03","10091,3.05","10108,1.22"
"10097,4.03","10089,3.03","10114,1.22"
"10097,4.03","10091,3.02","10112,1.23"
"10099,4.03","10091,3.04","10114,1.22"
"10100,4.04","10093,3.05","10113,1.23"
"10094,4.03","10090,3.05","10111,1.22"
"10096,4.03","10093,3.04","10109,1.23"
"10094,4.04","10090,3.05","10107,1.22"
"10096,4.04","10094,3.05","10110,1.23"
"10096,4.04","10091,3.04","10108,1.23"
"10097,4.03","10091,3.04","10109,1.25"
"10095,4.04","10091,3.04","10108,1.23"
"10093,4.03","10094,3.05","10108,1.22"
"10093,4.03","10091,3.05","10109,1.23"
"10093,4.04","10091,3.05","10110,1.22"
"10095,4.03","10093,3.04","10111,1.23"
"10098,4.03","10091,3.04","10113,1.25"
"10096,4.03","10089,3.04","10107,1.25"
"10096,4.03","10090,3.05","10109,1.22"
"10097,4.03","10092,3.05","10109,1.23"
"10095,4.03","10091,3.04","10106,1.22"
"10097,4.03","10089,3.05","10114,1.23"
"10097,4.03","10089,3.04","10110,1.22"
"10095,4.03","10090,3.04","10110,1.22"
"10095,4.04","10091,3.04","10108,1.23"
"10096,4.03","10091,3.05","10110,1.22"
"10095,4.03","10091,3.05","10112,1.27"
"10093,4.04","10091,3.04","10109,1.25"
"10097,4.03","10090,3.05","10107,1.22"
"Done.
","Done.
","Done.
"
